R;T;L;E;W
60;70;2;21,23;0,759
120;70;2;26,91;0,745
180;70;2;35,06;0,722
240;70;2;36,79;0,717
300;70;2;39,01;0,709
60;70;4;18,52;0,765
120;70;4;19,01;0,764
180;70;4;20,25;0,761
240;70;4;20,99;0,76
300;70;4;22,22;0,757
60;70;6;14,57;0,774
120;70;6;15,06;0,773
180;70;6;15,56;0,772
240;70;6;15,56;0,772
300;70;6;16,3;0,77
60;80;4;25,22;0,749
120;80;4;26,97;0,745
180;80;4;30,28;0,736
240;80;4;32,03;0,731
300;80;4;37,67;0,714
60;80;6;19,77;0,762
120;80;6;21,52;0,758
180;80;6;22,5;0,756
240;80;6;22,43;0,756
300;80;6;24,44;0,751
