;Name;nZ;nD;nBn;nH0;nRot;nP;nTH;nLFw;nKc;nRo;nCp;nMu;nW0;nWF;xexp;xd;SolventSelector;NonSolventSelector
1;Water;0,142;0,112;3;0,001;100;0,066;90;3;6,00E-01;990;4180;6,00E-04;0;1;;64,48;1;1
2;Water;0,142;0,112;3;0,001;200;0,066;90;3;6,00E-01;990;4180;6,00E-04;0;1;;65,26;1;1
3;Water;0,142;0,112;3;0,001;300;0,066;90;3;6,00E-01;990;4180;6,00E-04;0;1;;69,91;1;1
4;Water;0,142;0,112;3;0,001;100;0,066;80;3;6,00E-01;990;4180;6,00E-04;0;1;;32,16;1;1
5;Water;0,142;0,112;3;0,001;200;0,066;80;3;6,00E-01;990;4180;6,00E-04;0;1;;35,52;1;1
6;Water;0,142;0,112;3;0,001;300;0,066;80;3;6,00E-01;990;4180;6,00E-04;0;1;;38,36;1;1
7;Water;0,142;0,112;3;0,001;100;0,066;70;3;6,00E-01;990;4180;6,00E-04;0;1;;24,14;1;1
8;Water;0,142;0,112;3;0,001;200;0,066;70;3;6,00E-01;990;4180;6,00E-04;0;1;;21,81;1;1
9;Water;0,142;0,112;3;0,001;300;0,066;70;3;6,00E-01;990;4180;6,00E-04;0;1;;21,81;1;1
10;Water;0,142;0,112;3;0,001;100;0,066;90;2;6,00E-01;990;4180;6,00E-04;0;1;;83,17;1;1
11;Water;0,142;0,112;3;0,001;200;0,066;90;2;6,00E-01;990;4180;6,00E-04;0;1;;83,45;1;1
12;Water;0,142;0,112;3;0,001;300;0,066;90;2;6,00E-01;990;4180;6,00E-04;0;1;;83,45;1;1
13;Water;0,142;0,112;3;0,001;100;0,066;80;2;6,00E-01;990;4180;6,00E-04;0;1;;68,28;1;1
14;Water;0,142;0,112;3;0,001;200;0,066;80;2;6,00E-01;990;4180;6,00E-04;0;1;;68;1;1
15;Water;0,142;0,112;3;0,001;300;0,066;80;2;6,00E-01;990;4180;6,00E-04;0;1;;68;1;1
16;Water;0,142;0,112;3;0,001;100;0,066;70;2;6,00E-01;990;4180;6,00E-04;0;1;;28;1;1
17;Water;0,142;0,112;3;0,001;200;0,066;70;2;6,00E-01;990;4180;6,00E-04;0;1;;34,34;1;1
18;Water;0,142;0,112;3;0,001;300;0,066;70;2;6,00E-01;990;4180;6,00E-04;0;1;;36,28;1;1
19;Water;0,142;0,112;3;0,001;100;0,066;90;1;6,00E-01;990;4180;6,00E-04;0;1;;97,2;1;1
20;Water;0,142;0,112;3;0,001;200;0,066;90;1;6,00E-01;990;4180;6,00E-04;0;1;;97,1;1;1
21;Water;0,142;0,112;3;0,001;300;0,066;90;1;6,00E-01;990;4180;6,00E-04;0;1;;97;1;1
22;Water;0,142;0,112;3;0,001;100;0,066;80;1;6,00E-01;990;4180;6,00E-04;0;1;;90,18;1;1
23;Water;0,142;0,112;3;0,001;200;0,066;80;1;6,00E-01;990;4180;6,00E-04;0;1;;90,99;1;1
24;Water;0,142;0,112;3;0,001;300;0,066;80;1;6,00E-01;990;4180;6,00E-04;0;1;;91,2;1;1
25;Water;0,142;0,112;3;0,001;100;0,066;70;1;6,00E-01;990;4180;6,00E-04;0;1;;22,09;1;1
26;Water;0,142;0,112;3;0,001;200;0,066;70;1;6,00E-01;990;4180;6,00E-04;0;1;;22,59;1;1
27;Water;0,142;0,112;3;0,001;300;0,066;70;1;6,00E-01;990;4180;6,00E-04;0;1;;24,63;1;1
