;Name;nZ;nD;nBn;nH0;nRot;nP;nTH;nLFw;nRo;nMu;nW0;nWF;xexp;nWE;SolventSelector;NonSolventSelector
1;Water/Ammonium Sulphate;0,142;0,112;3;0,001;60;0,066;70;2;1040;1,00E-03;0,2;0,8;21,23;0,759;1;1
2;Water/Ammonium Sulphate;0,142;0,112;3;0,001;120;0,066;70;2;1040;1,00E-03;0,2;0,8;26,91;0,745;1;1
3;Water/Ammonium Sulphate;0,142;0,112;3;0,001;180;0,066;70;2;1040;1,00E-03;0,2;0,8;35,06;0,722;1;1
4;Water/Ammonium Sulphate;0,142;0,112;3;0,001;240;0,066;70;2;1040;1,00E-03;0,2;0,8;36,79;0,717;1;1
5;Water/Ammonium Sulphate;0,142;0,112;3;0,001;300;0,066;70;2;1040;1,00E-03;0,2;0,8;39,01;0,709;1;1
6;Water/Ammonium Sulphate;0,142;0,112;3;0,001;60;0,066;70;4;1040;1,00E-03;0,2;0,8;18,52;0,765;1;1
7;Water/Ammonium Sulphate;0,142;0,112;3;0,001;120;0,066;70;4;1040;1,00E-03;0,2;0,8;19,01;0,764;1;1
8;Water/Ammonium Sulphate;0,142;0,112;3;0,001;180;0,066;70;4;1040;1,00E-03;0,2;0,8;20,25;0,761;1;1
9;Water/Ammonium Sulphate;0,142;0,112;3;0,001;240;0,066;70;4;1040;1,00E-03;0,2;0,8;20,99;0,76;1;1
10;Water/Ammonium Sulphate;0,142;0,112;3;0,001;300;0,066;70;4;1040;1,00E-03;0,2;0,8;22,22;0,757;1;1
11;Water/Ammonium Sulphate;0,142;0,112;3;0,001;60;0,066;70;6;1040;1,00E-03;0,2;0,8;14,57;0,774;1;1
12;Water/Ammonium Sulphate;0,142;0,112;3;0,001;120;0,066;70;6;1040;1,00E-03;0,2;0,8;15,06;0,773;1;1
13;Water/Ammonium Sulphate;0,142;0,112;3;0,001;180;0,066;70;6;1040;1,00E-03;0,2;0,8;15,56;0,772;1;1
14;Water/Ammonium Sulphate;0,142;0,112;3;0,001;240;0,066;70;6;1040;1,00E-03;0,2;0,8;15,56;0,772;1;1
15;Water/Ammonium Sulphate;0,142;0,112;3;0,001;300;0,066;70;6;1040;1,00E-03;0,2;0,8;16,3;0,77;1;1
21;Water/Ammonium Sulphate;0,142;0,112;3;0,001;60;0,066;80;4;1040;1,00E-03;0,2;0,8;25,22;0,749;1;1
22;Water/Ammonium Sulphate;0,142;0,112;3;0,001;120;0,066;80;4;1040;1,00E-03;0,2;0,8;26,97;0,745;1;1
23;Water/Ammonium Sulphate;0,142;0,112;3;0,001;180;0,066;80;4;1040;1,00E-03;0,2;0,8;30,28;0,736;1;1
24;Water/Ammonium Sulphate;0,142;0,112;3;0,001;240;0,066;80;4;1040;1,00E-03;0,2;0,8;32,03;0,731;1;1
25;Water/Ammonium Sulphate;0,142;0,112;3;0,001;300;0,066;80;4;1040;1,00E-03;0,2;0,8;37,67;0,714;1;1
26;Water/Ammonium Sulphate;0,142;0,112;3;0,001;60;0,066;80;6;1040;1,00E-03;0,2;0,8;19,77;0,762;1;1
27;Water/Ammonium Sulphate;0,142;0,112;3;0,001;120;0,066;80;6;1040;1,00E-03;0,2;0,8;21,52;0,758;1;1
28;Water/Ammonium Sulphate;0,142;0,112;3;0,001;180;0,066;80;6;1040;1,00E-03;0,2;0,8;22,5;0,756;1;1
29;Water/Ammonium Sulphate;0,142;0,112;3;0,001;240;0,066;80;6;1040;1,00E-03;0,2;0,8;22,43;0,756;1;1
30;Water/Ammonium Sulphate;0,142;0,112;3;0,001;300;0,066;80;6;1040;1,00E-03;0,2;0,8;24,44;0,751;1;1
